X,Y,AP001,AP002,AP003,AP004,AP005,AP006,AP007,AP008,AP010,AP011,AP014,AP017,AP019,AP021,AP023,AP024,AP029,AP030
16,12,-69.5,-66.6923076923077,-48.92307692307692,-75.46153846153847,-95.0,-47.23076923076923,-45.15384615384615,-71.92307692307692,-93.0,-88.61341295268812,-79.66666666666667,-70.0,-72.07692307692308,-77.0,-80.33333333333333,-69.33333333333333,-53.666666666666664,-79.0
16,13,-82.2,-83.625,-45.958333333333336,-77.66666666666667,-85.42857142857143,-45.916666666666664,-44.25,-67.41666666666667,-87.57142857142857,-79.85714285714286,-90.3857519152634,-86.1,-88.08333333333333,-75.4,-79.25,-90.0,-77.3109428695099,-78.16666666666667
16,14,-86.125,-79.5,-40.7,-74.85,-87.5,-44.1,-42.1,-64.9,-88.5,-85.0,-85.0,-92.0,-88.25,-74.0,-81.0,-88.0,-75.58477763886899,-79.5
16,15,-87.0,-85.5,-41.36363636363637,-71.95454545454545,-84.55555555555556,-48.0,-41.36363636363637,-72.54545454545455,-83.625,-85.66666666666667,-89.83627720223338,-84.66666666666667,-84.88888888888889,-78.77777777777777,-78.36363636363636,-86.77777777777777,-79.5414507806017,-76.45454545454545
16,16,-83.16666666666667,-84.875,-40.291666666666664,-66.79166666666667,-85.0,-38.833333333333336,-38.75,-69.83333333333333,-83.0,-83.0,-89.0,-87.0,-84.4,-76.27272727272727,-78.5,-83.3,-75.70938150919962,-78.33333333333333
16,17,-82.25,-82.22727272727273,-41.68181818181818,-74.45454545454545,-87.0,-41.36363636363637,-44.27272727272727,-73.27272727272727,-91.5,-84.42857142857143,-89.0,-85.77777777777777,-90.33333333333333,-78.45454545454545,-78.6,-89.33333333333333,-77.41376473009016,-77.8
16,18,-80.66666666666667,-78.91666666666667,-44.083333333333336,-74.41666666666667,-77.75,-45.75,-45.333333333333336,-74.16666666666667,-85.0,-86.0,-88.57142857142857,-84.8,-86.1,-81.7,-82.08333333333333,-92.0,-80.89331857735591,-77.33333333333333
16,19,-81.0,-84.0,-46.68181818181818,-73.77272727272727,-87.5,-44.72727272727273,-45.63636363636363,-71.0,-87.0,-84.75,-93.0,-93.33333333333333,-88.0,-79.0,-79.22222222222223,-94.0,-80.4401792322394,-79.22222222222223
17,1,-80.6923076923077,-79.92307692307692,-60.142857142857146,-74.38461538461539,-88.16180052897771,-59.285714285714285,-58.57142857142857,-53.166666666666664,-88.63335193798395,-86.51374767679052,-83.0,-86.83333333333333,-82.75,-67.0,-73.5,-92.5,-78.14285714285714,-72.75
17,2,-93.875,-96.25,-68.60714285714286,-84.04545454545455,-89.87610684806138,-67.25,-67.64285714285714,-53.857142857142854,-90.11858419553309,-90.60864096926504,-91.06040011592711,-98.0,-94.0,-65.28571428571429,-81.92857142857143,-96.0,-75.14285714285714,-83.92857142857143
17,3,-94.0,-94.375,-58.82142857142857,-87.83333333333333,-88.60009109215747,-59.464285714285715,-57.5,-55.642857142857146,-89.64021671194882,-90.96707079671471,-87.0,-86.0,-91.51228374569489,-62.42857142857143,-79.14285714285714,-92.27505231992414,-67.0,-78.78571428571429
17,4,-92.75,-94.0,-61.785714285714285,-86.33333333333333,-89.20971965201568,-59.785714285714285,-59.857142857142854,-49.357142857142854,-89.96151862366673,-90.73564424423708,-91.26804510696903,-98.0,-94.0,-63.92857142857143,-84.5,-93.0,-66.78571428571429,-83.125
